# NOTES:
# The # Symbol at the start of a line counts as a Comment. To include in dialog, use a \#
# The . Symbol will cause a pause unless escaped with \. (ex: Mr. Oshiro has a pause, Mr\. Oshiro does not)
# Newlines automatically create a Page Break, unless there is an {n} command on the previous line
# Commands: Anything inside of curly braces {...} is a command and should not be translated.

# Inline Text Commands:
# {~}wavy text{/~}
# {!}impact text{/!}
# {>> x}changes speed at which characters are displayed{>>}
# {# 000000}this text is black{#} (uses HEX color values)
# {+MENU_BEGIN} inserts the dialog from the MENU_BEGIN value (in English, "CLIMB")
# {n} creates a newline, without a page break
# {0.5} creates a 0.5 second pause
# {big}this text is large{/big}

# Gameplay Control Commands (should never change)
# {trigger x} this triggers an in-game event
# {anchor} controls the visual position of the textbox in-game

# Language (id,label)
	LANGUAGE=story,Story
	ICON=Icons/story.png
	ORDER=0

# Font (Face, Base Size)
# Use BMFONT to generate the .fnt and image files
	FONT=Renogare,64

# Done loading Meta Data
	BEGIN=true

# Auto-Saving
	AUTOSAVING_TITLE_NS=
		This game features Auto Saving
	AUTOSAVING_DESC_NS=
		Do not turn off the console
		when this icon is displayed
	AUTOSAVING_TITLE_PS4=
		This game features Auto Saving
	AUTOSAVING_DESC_PS4=
		Do not turn off the console
		when this icon is displayed
	AUTOSAVING_TITLE_XB1=
		This game features Auto Saving
	AUTOSAVING_DESC_XB1=
		Do not turn off your console
		when this icon is displayed
	AUTOSAVING_TITLE_PC=
		This game features Auto Saving
	AUTOSAVING_DESC_PC=
		Do not turn off your computer
		when this icon is displayed

# Main Menu
	MENU_DEBUG=		~DEBUG~
		{+close}
		{artiboom_textbox badeline}
		I {~}tried{/~} to stop you.

		Look into the mirror, what do you see?
		All of this is yours.
		This temple only magnifies it.

	CH5_SHADOW_MADDY_2=
		{+close}
		{artiboom_textbox madeline}
		Why are you {!}doing{/!} this?!

		{+close}
		{artiboom_textbox badeline}
		Aw, poor {+MADELINE}, {~}always the victim.{/~}
		You know why this is happening.
		It's not me.

	CH5_SHADOW_MADDY_3=
		{+close}
		{artiboom_textbox madeline}
		Why won't you just fucking {*}help{/*} me?

		{+close}
		{artiboom_textbox badeline}
		Now you want me to {~}save{/~} you?

		{+close}
		{artiboom_textbox madeline}
		Just be on my side here for once.

		{+close}
		{artiboom_textbox badeline}
		Stop trying to make me feel like a monster.
		You {~}really{/~} want to know why I won't help?
		{0.3}
		You {!}deserve{/!} this.

		{+close}
		{artiboom_textbox madeline}
		{*}...{/*}

		{+close}
		{artiboom_textbox badeline}
		Still think you can {~}climb this {+MOUNTAIN}?{/~}

		{trigger 0 Badeline Leaves}
		{artiboom_textbox madeline}
		{*}SHUT UP!{/*}


		{*}I don't need your void damned help.{/*}
		I'll do this alone.

	CH5_REFLECTION=
		{trigger 0 Madeline falls to knees}

		{artiboom_textbox madeline}
		Those {*}things{/*} are hunting me.
		{0.8}
		{+theo} is trapped somewhere in here because of me.
		{1.3}
		{+theo}, damn you...

		{trigger 1 Madeline stops panicking}

		{portrait none}
		{#999a9a}...
		Breathe.
		
		{trigger 2 Madeline gets up}

		Get up, {+MADELINE}{#999a9a}.
		You can save {+theo}{#999a9a}.
		Think of the feather.

	CH5_SEE_THEO=
		{+close}
		{artiboom_textbox madeline}
		{+theo}!
		
		[THEO right worried]
		What-

		[THEO right excited]
		Oh my God!{0.3} You can talk!?

		{+close}
		{artiboom_textbox madeline}
		{!}You can hear me?!{/!}
		
		[THEO right excited]
		Yeah! I{0.3}.{0.3}[THEO right normal].{0.3}.
		[THEO right serious]
		...what's wrong?

		{trigger 0 zoom in}

		{+close}
		{artiboom_textbox madeline}
		What do you mean?
		
		[THEO right serious]
		You look.{0.1}.{0.1}.{0.1} awful.

		{+close}
		{artiboom_textbox madeline}
		{*}What!?{/*}	

		[THEO right worried]
		No, not like that!
		{+close}

		{3.8}

		{+close}
		{artiboom_textbox madeline}
		Are you okay?

		[THEO right normal]
		Yeah.

		[THEO right thinking]
		I've just been stuck in this... crystal thing for ages.

		[THEO right wtf]
		Do you get the feeling that this place{n}knows you better than you know yourself?
		
		{+close}
		{artiboom_textbox madeline}
		{*}...{/*}
		Yeah...
		{trigger 1 Madeline turns around}

		I didn't want you to{n}have to see this side of me.

		You're trapped because of me.

		And now this{0.4} temple is showing{n}you what I'm {~}really{/~} like.
		I'm a monster...

		{trigger 2 wait a bit}

		[THEO right thinking]
		Hey, we're in this together.

		[THEO right wtf]
		Don't act like this is all on you.

		{trigger 3 Madeline turns back, zoom out, room gets brighter}

		{+close}
		{artiboom_textbox madeline}
		{*}How could it not be!?{/*}

		[THEO right wtf]
		You didn't trap me in this crystal.
		Sure, those monsters are coming from you,{n}but the temple is shaping itself around me too.

		[THEO right worried]
		I can {*}feel{/*} it.
		These {~}eyes{/~} are staring at me...

		[THEO right wtf]
		And this crystal is coming from me, I know it.

		[THEO right serious]
		I hate to ask, but I really need your help right now.

		{trigger 0 zoom back in}

		{+close}
		{artiboom_textbox madeline}
		...
		Fine.
		I'll bust you out of that thing,{n}then we'll escape together.
		Just as soon as I find my way around to you...
		
		[THEO right serious]
		You're my only hope right now.
		I believe in you, for real.

		{+close}
		{artiboom_textbox madeline}
		{*}I...{/*}
		I-{0.3} I hope that's not a mistake.

	CH5_SEE_THEO_B=
		{artiboom_textbox madeline}
		I deserve this, don't I?

		[THEO right wtf]
		{+ALEX}, you have to stop being so hard on yourself.

		{+close}
		{artiboom_textbox madeline}
		...
		Who's {+ALEX}?

		[THEO right thinking]
		Sorry, someone else.

		[THEO right wtf]
		But my comment still stands.
		No one deserves this, least of all you.

		{+close}
		{artiboom_textbox madeline}
		{*}...are you sure?{/*}

	CH5_FOUND_THEO=
		{+close}
		{artiboom_textbox madeline}
		{+theo}!
		Oh, thank the voids.
		
		[THEO right excited]
		I knew you'd make it!

		[THEO right wtf]
		...wait, {!}what did you say!?{/!}

		{+close}
		{artiboom_textbox madeline}
		Uhh...

		{+close}
		{0.3}

		[THEO right nailedit]
		Nevermind.

		[THEO right thinking]
		Those monsters are {!}vicious!{/!}
		
		{+close}
		{artiboom_textbox madeline}
		Makes me wish I had a spear.
		...or any bombs left.

		[THEO right worried]
		...
		[THEO right wtf]
		You're quite a fighter, huh?
		[THEO right normal]
		Think you could break me out of this crystal?
		
		{+close}
		{artiboom_textbox madeline}
		Fuck, right.
		Let me try...

		{trigger 0 Attempt to break the crystal, but it just falls to the ground}
		
		[THEO right thinking]
		Well, this is a solid start, but...
		
		[THEO right wtf]
		This crystal is, like, an expression of my{n}negative psychic energy... or whatever.

		{+close}
		{artiboom_textbox madeline}
		Oh, isn't that just {~}lovely.{/~}

		[THEO right serious]
		If I knew {~}why{/~} I trapped myself in{n}this thing, maybe I could bust out.

		[THEO right wtf]
		But I don't.

		[THEO right thinking]
		And I don't think I can get to the bottom of it{n}while we're stuck in this nightmare dimension.
		
		[THEO right serious]
		I hate to say it, but you might have to-
		
		{+close}
		{artiboom_textbox madeline}
		{+theo}, don't even think about that!
		{*}I'm not leaving {#97aedf}you{#}...{/*}
		I'm {*}not{/*} leaving {#FF9523}you{#} behind!
		
		[THEO right worried]
		{~}Hell no{/~}, you better not leave me in this place!

		[THEO right thinking]
		I was gonna say you might have to carry me.
		
		{+close}
		{artiboom_textbox madeline}
		Oh.
		Yeah, I can do that.

	CH5_THEO_SAVING_LIFT=
		[THEO left thinking]
		Dang, you can lift.

	CH5_THEO_SAVING_A=
		[THEO left excited]
		{~}Alright{/~}, you got this!

	CH5_THEO_SAVING_NICE=
		[THEO left thinking]
		Crushing it! That door didn't stand a chance.

	CH5_THEO_SAVING_B=
		[THEO left worried]
		Uh oh... I hope you know how to deal with these things.

	CH5_THEO_SAVING_C=
		[THEO left worried]
		Another one!? Come on...

	CH5_THEO_SAVING_SWITCH=
		[THEO left thinking]
		{+theo} saves the day again.

	CH5_THEO_SAVING_DUNK=
		[THEO left nailedit]
		I'm helping.

	CH5_THEO_SAVING_REALLY=
		[THEO left thinking]
		Now you're just showing off.

	CH5_THEO_SAVING_D=
		[THEO left excited]
		We have to be close, I can feel it.

	CH5_THEO_SAVING_E=
		[THEO left worried]
		Just a bit further. You can do this.

	CH5_BSIDE_THEO_A=
		[THEO left excited]
		It's the temple remix, featuring your boy {+MIXMASTER_THEO}!

	CH5_BSIDE_THEO_B=
		[THEO left wtf]
		This isn't canon, is it?

	CH5_BSIDE_THEO_C=
		[THEO left wtf]
		Uhh, this one is clearly impossible.

# *** Chapter 06 ***

	CH6_THEO_INTRO=
		{#999a9a}Note:{n}Due to this cutscene being heavily hardcoded,{n}{+MADELINE}'s dialogue options will have {# F94A4A}Madeline{#}'s icon next to them.
		This is a technical limitation that I attempted to overcome, but ultimately could not.{#}
		
		{+close}
		{artiboom_textbox madeline}
		{+theo}, you're awake!

		[THEO left thinking]
		Am I? I'm skeptical...

		[THEO left wtf]
		I had a {~}messed up{/~} nightmare.
		
		{+close}
		{artiboom_textbox madeline}
		Oh, no, that wasn't a nightmare.

		[THEO left thinking]
		Oh, yep, it's all coming back to me now.

		[THEO left wtf]
		That actually happened.

		[THEO left serious]
		Thanks for getting us out of there.

		{+close}
		{artiboom_textbox madeline}
		Not like I had a choice.
		...
		{#999a9a}...no problem.{#}

	CH6_THEO_ASK_OUTFOR=
		[THEO left thinking]
		How long was I out for?
	CH6_THEO_SAY_OUTFOR=
		[THEO left thinking]
		How long was I out for?

		{+close}
		{artiboom_textbox madeline}
		Hmm..
		maybe about six or seven microcycles?

		[THEO left wtf]
		...
		What?
		{+close}
		
		{3}		

		{artiboom_textbox madeline}
		Are you okay?

		[THEO left wtf]
		...

		[THEO left thinking]
		I mean, aside from the existential crisis?

		[THEO left wtf]
		Yeah, I'm fine.

	CH6_THEO_ASK_EXPLAIN=
		[THEO left wtf]
		What's really going on here?
	CH6_THEO_SAY_EXPLAIN=
		[THEO left wtf]
		Clearly something's up with you.
		What's really going on here?

		{+close}
		{artiboom_textbox madeline}
		I should've told you sooner.
		I'm not from this, uhh...
		whatever this is.

		[THEO left normal]
		Yeah, that sounds about right.

		{+close}
		{3.4}

		{artiboom_textbox madeline}
		Where I'm from, I had to fight every day to stay alive.
		Hunting, hiding, all of it.
		There wasn't really anyone else around.
		I've grown strong enough to hold my own,{n}but some days, it's just too much. 

		[THEO left serious]
		You must've been pretty lonely.

		{+close}
		{3.4}
		
		{artiboom_textbox madeline}
		Back at the ruins...{n}a {+ST_BAD}part of me{+END_BAD} escaped from a mirror.
		A part I'm not very...{0.8} proud{0.5} of.

		I {>>}swear{/>>}{0.5} I dreamt it.

		[THEO left serious]
		You think the {+MOUNTAIN} made it real?

		{+close}
		{artiboom_textbox madeline}
		Yeah.
		She's been haunting me the whole time.
		She lashed out at {+MROSHIRO}.
		I think she was the reason the gondola stalled out.
		And she was there, in the temple.

		[THEO left worried]
		...
		Why didn't you say something?
		I wouldn't have gone into that temple{n}if I knew what this {+MOUNTAIN} was capable of...

		{+close}
		{artiboom_textbox madeline}		
		I {!}couldn't{/!}, remember?
		
		[THEO left thinking]
		Right.
			
		{+close}
		{artiboom_textbox madeline}
		She's just a bitch.

		[THEO left wtf]
		Okay, okay.
		I understand.

		[THEO left thinking]
		Next time, just {0.3}talk to me.
		I promise I'll believe you.

	CH6_THEO_ASK_THANKYOU=
		[MADELINE right upset]
		How did you know we were going to escape?
	CH6_THEO_SAY_THANKYOU=
		{+close}
		{artiboom_textbox madeline}
		How did you know we were going to escape?

		[THEO left thinking]
		I don't actually know.
		Just a hunch.
		
		{+close}
		{1.2}

		[THEO left wtf]
		I was pretty useless, stuck in that thing.

		{+close}
		{artiboom_textbox madeline}
		Yeah...

	CH6_THEO_ASK_TRUST=
		[MADELINE right upset] 
		Why do you trust me?
	CH6_THEO_SAY_TRUST=
		{+close}
		{artiboom_textbox madeline}
		Why do you trust me?
		Seriously, you barely even know me.

		[THEO left normal]
		Honestly?
		You remind me of my sister.

		{+close}
		{artiboom_textbox madeline}
		Huh.
		What's she like?

		[THEO left excited]
		Oh, you'd love her!

		[THEO left wtf]
		Actually, you might not get along at first...

		[THEO left thinking]
		But you'd eventually love her.

		[THEO left excited]
		She's a {~}literal{/~} rockstar.

		{+close}
		{artiboom_textbox madeline}
		She's...{0.4} a musician?

		[THEO left thinking]
		Okay, she's not {~}literally{/~} a literal rockstar.

		[THEO left normal]
		{+ALEX} is just... amazing at everything.
		She's studying to be a civil rights lawyer.

		{+close}
		{artiboom_textbox madeline}
		A...{0.6} what?
		Actually, nevermind.
		How do I remind you of her?

		[THEO left wtf]
		You both live so deep inside your own heads.

		{+close}
		{artiboom_textbox madeline}
		{!}Hey!{/!}

		[THEO left thinking]
		{+ALEX} has this amazing internal compass.

		[THEO left normal]
		It's obvious that she'll get where she needs to be.
		I can see that in you too.

		[THEO left wtf]
		I wish I could say the same for myself.
		
	CH6_THEO_ASK_WHY=
		[MADELINE right upset]
		Your sister sounds nice. How do I remind you of her?
	CH6_THEO_SAY_WHY=
		{+close}
		{artiboom_textbox madeline}
		Your sister sounds nice.
		How do {~}I{/~} remind you of her?

		[THEO left thinking]
		Are you kidding me?

		[THEO left excited]
		You're the one who's {~}dead set{/~}{n}on climbing this {+MOUNTAIN}.

		[THEO left thinking]
		And you {~}{>> .3}don't even know why.{>>}{/~}

		[THEO left excited]
		That's classic {+ALEX}.

		{+close}
		{artiboom_textbox madeline}
		...

		[THEO left thinking]
		I'm just teasing you.

		[THEO left normal]
		Why {~}are{/~} you climbing the {+MOUNTAIN}, anyways?

		{+close}
		{artiboom_textbox madeline}
		...You're right,{0.5} I don't know.
		I woke up near, and it just felt nice to...
		get up high somewhat.

		[THEO left normal]
		...

		{trigger 0 Wait a bit}

		[THEO left thinking]
		What {~}is{/~} your name, anyways?

		{+close}
		{artiboom_textbox madeline}
		I never really...
		{1}{+MADELINE}. You can call me {+MADELINE}.
 
		{trigger 0 Wait a bit}

		{+close}
		{artiboom_textbox madeline}
		Are you sure I remind you of {+ALEX}?
		She sounds a lot better than me.

		[THEO left wtf]
		What do you mean?

		{trigger 0 Wait a bit}

		{+close}
		{artiboom_textbox madeline}
		I've done some things in the past that I'm...
		...not the proudest of.
		And, no matter how hard I try...{n}I can't move on from it.

		[THEO left serious]
		Hm.

	CH6_THEO_ASK_DEPRESSION=
		[THEO left serious]
		Would you mind talking about what happened?
	CH6_THEO_SAY_DEPRESSION=
		[THEO left serious]
		Would you mind talking about what happened?

		{+close}
		{artiboom_textbox madeline}
		...

		{+close}
		{5}
		
		[THEO left normal]
		We can talk about something else if you want.

		{+close}
		{artiboom_textbox madeline}
		...no, you should know.

		I used to have two pups.

		One was {#97aedf}Storm{#}, and the other...
		...died before I could name him.

		They were the lights of my life.
		
		{+close}
		{2}
		Do you know what scavengers are?
		
		[THEO left thinking]
		...Not to you, I don't.
		
		{+close}
		{artiboom_textbox madeline}
		They're these little buggers, about as tall as I am.
		They usually group up in outposts, and...
		they are {~}obsessed{/~} with pearls.

		One day, while we were crossing through an outpost,
		{#97aedf}Storm{#} took one of their pearls.
		{+close}
		{3}
		I tried to escape, but she...
		...she fell behind.

		[THEO left worried]
		That's {1.0}[THEO left serious]{0.5}really hard.
		
		{+close}
		{artiboom_textbox madeline}
		I couldn't- {0.3}{*}can't{/*}- {0.3}forgive them for what they did.
		
		[THEO left serious]
		...

		{+close}
		{artiboom_textbox madeline}
		I can't tell you how many I've killed.
		It...{0.5} has to be somewhere in the thousands.
		{+close}
		[THEO left worried]
		...
		{+close}
		{3}

	CH6_THEO_ASK_DEFENSE=
		[THEO left wtf]
		I think I saw that {+PART_OF_YOU}.
	CH6_THEO_SAY_DEFENSE=
		[THEO left wtf]
		I think I saw that {+PART_OF_YOU} you were talking about.
		Back in the temple, I mean.

		{+close}
		{artiboom_textbox madeline}
		Oh, yeah, that fucker.
		She's so demeaning to me. I hate it.
		And she keeps just {~}running away{/~}.

		[THEO left normal]
		Maybe she could be some kind of...{n}twisted defense mechanism.
		
		{+close}
		{artiboom_textbox madeline}
		Honestly, who cares?
		She has so much control over me.
		I hate it.

		[THEO left wtf]
		Maybe you can learn to control her instead.

		{+close}
		{artiboom_textbox madeline}
		...
		The feather helps a lot.
		Thanks. {0.8}For teaching me that, I mean.

		[THEO left thinking]
		Just one of my grandpa's many nuggets of wisdom.

	CH6_THEO_ASK_VACATION=
		[THEO left thinking]
		How did you get here?
	CH6_THEO_SAY_VACATION=
		[THEO left thinking]
		How did you get here?

		{+close}
		{artiboom_textbox madeline}
		What do you mean?

		[THEO left normal]
		Dude, you're from a {~}completely{n}different dimension{/~} or something.

		[THEO left thinking]
		How are you here?

		{+close}
		{artiboom_textbox madeline}
		...
		I don't really remember it well.
		Last thing I remember was jumping{n}into some {#ffdb6d}golden sea{#},
		seeing some fucking colossal worms,
		then I blacked out and woke up somewhere near here.

		[THEO left wtf]
		...
		[THEO left thinking]
		Trippy.	
		[THEO left normal]
		How big are we talking?

		{+close}
		{artiboom_textbox madeline}
		...
		Their head's about as large as that ridge behind you,
		and by length, I have no fucking idea.
		Maybe about three or four hundred times as long{n}as this {+MOUNTAIN} is tall?

		[THEO left worried]
		Dang. No kidding.

	CH6_THEO_ASK_FAMILY=
		[MADELINE right upset]
		Dying sucks.

	CH6_THEO_SAY_FAMILY=
		{+close}
		{artiboom_textbox madeline}
		Dying fucking sucks.
		Were you counting how many times I died back there?

		[THEO left wtf]
		Yeah, what was that about?
		You just come back like nothing happened?
		[THEO left thinking]
		It's the {+MOUNTAIN}, I'm calling it now.

		{+close}
		{artiboom_textbox madeline}
		What? That's normal.

		[THEO left wtf]
		...No?
		[THEO left thinking]
		People don't usually just{0.8} {~}come back from the dead{/~} like that.

		{+close}
		{1}
		{artiboom_textbox madeline}
		{!}Oh shit!{/!}
		Do you guys not have {#ffdb6d}the cycle{#} here?

		[THEO left wtf]
		...the what?

		{+close}
		{artiboom_textbox madeline}
		Fuck, okay.
		Let me explain.
		{#ffdb6d}The cycle{#} is some kind of force or something.
		It affects everything around us,
		from you to me to that fly behind you,

		[THEO right worried]
		{!}Ah!{/!}
		{+close}
		{0.8}
		[THEO right nailedit]
		Okay, it's dead.
		[THEO left normal]
		What were you saying?

		{+close}
		{artiboom_textbox madeline}
		...{#ffdb6d}the cycle{#} makes people come back.
		No matter what, as long as you aren't too young or old,
		you wake up the next day.
		And even then, if you are, your soul doesn't leave either.

		[THEO left excited]
		Oh, I get it!
		[THEO left normal]
		Samsara and all, right?

		{+close}
		{artiboom_textbox madeline}
		...you think I know what that is?

		[THEO left normal]
		Right.
		[THEO left thinking]
		That definitely makes your, uh, genocide{n}feel a bit less horrible.
		[THEO left wtf]
		Still not good though.
		
		{+close}
		{5}
		
		{artiboom_textbox madeline}
		Are you alright?
		

		[THEO left thinking]
		Yeah, I'm just remembering something.

		[THEO left thinking]
		My grandpa taught me about this {+MOUNTAIN}.
		He always said to live life like you'd die tomorrow.
		[THEO left normal]
		It felt like he was telling me to come here.

	CH6_THEO_ASK_GRANDPA=
		[MADELINE right upset]
		Are you close to your grandpa?
	CH6_THEO_SAY_GRANDPA=
		{+close}
		{artiboom_textbox madeline}
		Are you close to your grandpa?

		[THEO left serious]
		Yeah... I was.

		{+close}
		{artiboom_textbox madeline}
		Ah. I see.

		[THEO left serious]
		It's okay. That's just how it is.

		[THEO left wtf]
		All I can do is stay positive.

		[THEO left serious]
		And live a meaningful life,{n}because that's what he would want.

		{trigger 0 Wait a bit}

		{+close}
		{artiboom_textbox madeline}
		I...
		I'm sorry, {+THEO}.

		[THEO left serious]
		Thanks.

	CH6_THEO_ASK_TIPS=
		[MADELINE right upset]
		What else did you learn from your grandpa?
	CH6_THEO_SAY_TIPS=
		{+close}
		{artiboom_textbox madeline}
		So, what else did you learn from your grandpa?

		[THEO left excited]
		So much stuff!

		[THEO left normal]
		Actually, he was the one who{n}told me about {+CELESTE_MOUNTAIN}.
		He always said that this place changed his life.

		[THEO left thinking]
		After I quit my job in Seattle,{n}I realized how close I was to it.
		I felt like he was telling me to come here.

		[THEO left wtf]
		Grandpa said that the {+MOUNTAIN} was {~}"special."{/~}

		{+close}
		{artiboom_textbox madeline}
		Huh.
		You think he went through the temple?
		Saw what we saw, and all?
		
		[THEO left thinking]
		He never talked about what happened here.

		{+close}
		{artiboom_textbox madeline}
		His experience was probably less, uh... violent.

		[THEO left wtf]
		He found the {+MOUNTAIN} before I was born.
		I don't know what he was like before that.

		[THEO left serious]
		I wonder what he learned about himself here...

	CH6_THEO_ASK_TEMPLE=
		[THEO left wtf]
		Who do you think built the temple?
	CH6_THEO_SAY_TEMPLE=
		[THEO left wtf]
		Who do you think built the temple?

		{+close}
		{artiboom_textbox madeline}
		Fuck if I know, I just got here.

		[THEO left thinking]
		It looks ancient...
		It must predate everything else on the {+MOUNTAIN}.{n}The resort, the ruins, the city...

		[THEO left serious]
		There's a lot of history here.

		{+close}
		{artiboom_textbox madeline}
		Eh, I'm used to it.
		Back where I was from, everything was like that.
		Giant fucking supercomputers tall as a {+MOUNTAIN},{n}walled with tapestries...
		...and graffiti.
		The people who made them are all long gone by now.

		{+close}
		{3}
		[THEO left serious]
		This {+MOUNTAIN} has meant so{n}many things to so many people.

		[THEO left thinking]
		I'm starting to understand why{n}that crazy old lady lives here.

		{+close}
		{artiboom_textbox madeline}
		You ran into her too?
		What's her deal?

		[THEO left thinking]
		I think she's just off in the head.

		[THEO left normal]
		...but she does seem pretty content living out here.

	CH6_THEO_ASK_SELFIE=
		[MADELINE right upset]
		I'm gonna head to sleep.
	CH6_THEO_SAY_SELFIE=
		[THEO left normal]
		You know what, actually?
		I want to remember this night.
		Selfie?

		{+close}
		{artiboom_textbox madeline}
		...
		Nah.
		Don't really like pictures.

		[THEO left thinking]
		Fair enough.
		{+close}
		{3}

		[THEO left wtf]
		Wait a second...

		[THEO left excited]
		You're going to reach the summit tomorrow!

		{+close}
		{artiboom_textbox madeline}
		Wait, really?
		Oh shit, yeah, you're right!

		[THEO left normal]
		I'll be cheering you on.
		We should get some sleep.

		{+close}
		{artiboom_textbox madeline}
		Alright.
		Night, {+THEO}.
		Thanks for being awesome.

		[THEO left thinking]
		What can I say? It comes naturally.

	CH6_THEO_ASK_SLEEP=
		[MADELINE right distracted]
		I should get some sleep.
	CH6_THEO_SAY_SLEEP=
		{+close}
		{artiboom_textbox madeline}
		Fuck, I'm exhausted.
		I'm gonna head to sleep.

		[THEO left thinking]
		Oh, are you sure you don't want to keep talking?

		[THEO left normal]
		I'm tired too, but we have a lot to talk about.

	CH6_THEO_ASK_SLEEP_CONFIRM=
		[MADELINE right sad]
		Yeah, sorry, I'm really tired.
	CH6_THEO_SAY_SLEEP_CONFIRM=
		{+close}
		{artiboom_textbox madeline}
		Yeah, nah.

		{+CH6_THEO_SAY_SELFIE}

	CH6_THEO_ASK_SLEEP_CANCEL=
		[MADELINE right upset]
		You're right, I can sleep later.
	CH6_THEO_SAY_SLEEP_CANCEL=
		{+close}
		{artiboom_textbox madeline}
		...fine.

	CH6_DREAMING=
		{+close}
		{artiboom_textbox madeline}
		These lights are so pretty...

		{+close}
		{artiboom_textbox badeline}
		Yeah... they are...
		...
		Where{0.5} are we?

		{+close}
		{artiboom_textbox madeline}
		We need to talk.

		{+close}
		{artiboom_textbox badeline}
		...about?

		{+close}
		{artiboom_textbox madeline}
		I finally understand what you are.
		You're not my real reflection.

		{+close}
		{artiboom_textbox badeline}
		You-
		I'm not?

		{+close}
		{artiboom_textbox madeline}
		You're everything I need to leave behind.
		You're cruel, sadistic, controlling...

		{+close}
		{artiboom_textbox badeline}
		{*}Excuse me!?{/*}

		{+close}
		{artiboom_textbox madeline}
		No, you don't get it.
		I don't need you anymore.
		So you{0.8} can go ahead and leave now.

		{+close}
		{artiboom_textbox badeline}
		So you're just... {!}abandoning{/!} me?

		{+close}
		{artiboom_textbox madeline}
		Yeah!
		Do what you want, we're dreaming.
		You can't touch me.

		{+close}
		{artiboom_textbox badeline}
		You...

		{silent_trigger 0 Tentacles Appear}
		...{!}fucking {*}IMBECILE!{/*}{/!}

		{silent_trigger 0 Tentacles Appear More}
		You think you can just {~}leave me behind?{/~}
		{silent_trigger 0 Tentacles Appear moooore}
		You think you can blame everything on me?
		{silent_trigger 0 Tentacles Appear EVEN MORE}
		You think you're {~}above{/~} me!?

		{silent_trigger 1 Tentacles grab Madeline}
		{!}{*}ANSWER ME!{/*}{/!}

		{+close}
		{artiboom_textbox madeline}
		Nope! Can't touch this.

		{trigger 4 start circling the player}
		{artiboom_textbox badeline}
		{!}{*}YOU FUCKING DICK!{/*}{/!}

		{+close}
		{artiboom_textbox madeline}
		Alright, this is it.
		Use the feather.

		{trigger 2 Feather minigame}

		{artiboom_textbox badeline}
		You're going to {~}think about a feather{/~} to stop me?

		{trigger 3 Destroy feather minigame}

		You are not {*}above me.{/*}
		And you {*}can't{/*} climb this {+MOUNTAIN}.
		It's time to accept that.

	CH6_THEO_WATCHOUT=
		[THEO left worried]
		{+MADELINE}, what's happening!?

	CH6_REFLECT_AFTER=
		[MADELINE left sad]
		I was so close.

		[MADELINE left panic]
		It's over now.
		Why won't she leave me alone?

		[MADELINE left angry]
		I {*}hate{/*} her.
		...

		[MADELINE left distracted]
		...
		But she's {+PART_OF_ME}.
		I'll never be able to get rid of her.

		[MADELINE left sad]
		And she was right.
		I couldn't climb the {+MOUNTAIN}.

	CH6_OLDLADY=
		[GRANNY right normal]
		Oh, hello again.

		[MADELINE left upset]
		Of course you're here.

		{trigger 0 Zoom in}

		[GRANNY right mock]
		Callin' it quits I see.
		
		[MADELINE left upset]
		No, I fell.
		It's over.

		[GRANNY right normal]
		That's probably for the best.
		The {+MOUNTAIN} doesn't pull any punches.

		[MADELINE left upset]
		Yeah, I get it. 
		I wasn't strong enough to climb your stupid {+MOUNTAIN}.

		[MADELINE left distracted]
		You can laugh at me again if you want.

		{trigger 1 Start laughing}
		
		[MADELINE left upset]
		I didn't mean actually laugh...

		{trigger 2 Stop laughing}
		
		[GRANNY right normal]
		Sometimes you gotta know when to throw in the towel.
		You'll get over it.

		{trigger 3 Maddy walks right}
		
		[MADELINE left angry]
		You know what?
		I had a lot of time to think,{n}climbing out of this cave...	
		And I'm already {*}over it.{/*}

		{trigger 4 Maddy walks left}

		[MADELINE left upset flip]
		That {0.4}{+PART_OF_ME}{0.4} was right, I can't do this.

		[MADELINE left panic flip]
		I'll just... go home to my sad life{n}and {.4}be miserable forever.

		{trigger 5 Wait a bit}
		
		[GRANNY right normal]
		You clearly aren't over it.

		{trigger 6 Maddy turns right}
		
		[MADELINE left upset]
		Shut up, I know.

		[MADELINE left distracted]
		I don't want to give up...
		But no matter how hard I try, she{n}sabotages me every step of the way.
		
		[GRANNY right normal]
		A lot of kids come here to climb{n}this {+mountain}, only to give up.
		It's a shame that you fell,{n}I was starting to think you'd make it.

		[MADELINE left sad]
		What makes me so special?

		[GRANNY right normal]
		I've never met someone so angry at themself.

		{trigger 1 Start lauging}

		[GRANNY right laugh]
		Honestly, I thought you'd reach{n}the summit just to spite yourself.

		[MADELINE left upset]
		Gee, thanks.

		{trigger 2 Stop laughing}

		[GRANNY right normal]
		This girl you're talking about,{n}it sounds like she's holding you back.
		Talk to her.
		Figure out why she's so scared.
		
